,Date,User,Tweet
31,2019-05-18 04:45:37+00:00,CNNnews18,#ElectionAlert – Prime Minister @narendramodi at the Kedarnath temple. PM Modi seeks divine blessings. PM will visit Badrinath tomorrow. | #ElectionsWithNews18 #LokSabhaElections2019 https://t.co/Cq4vC4ankx
32,2019-05-18 04:43:00+00:00,CNNnews18,#ElectionAlert – Prime Minister @narendramodi touches down in Kedarnath. This is PM Modi’s 4th visit to the Holy Hindu Shrine. #ElectionsWithNews18 #LokSabhaElections2019 | @maryashakil with more details https://t.co/3cbdrIFlth
33,2019-05-18 04:21:43+00:00,news24tvchannel,"Excellent press conference .... Rahul taunts Modi

@narendramodi @BJP4India @PMOIndia @RahulGandhi @INCIndia 

#LokSabhaElections2019  

https://t.co/biwVW3l98l"
34,2019-05-18 04:18:16+00:00,GeorgekurianINC,"Modi's claim to form government at centre the second time didn't comprehend with his own facial expression n body language, on the contrary it send a different signal altogether.
@RahulGandhi @INCIndia
#Elections2019 @drshamamohd #LokSabhaElections2019 #ExitPolls2019 https://t.co/UW5ynEPr0u"
35,2019-05-18 03:37:33+00:00,deepakarjunraom,"#LokSabhaElections2019
#DeshKaGauravModi
#ModiOnBharat
#ImpeachmentBolsonaro
#ENGvPAK
#RahulGandhi
#ElectionsWithNDTV
#ABP
#priyankagandhi
#Gandhi
@Naveen_Odisha
@INCIndia
@BJP4India
@Mayawati
@ArvindKejriwal
@samajwadiparty
@sambitswaraj
@narendramodi
@RubikaLiyaquat
@ZeeNews https://t.co/yxvR7jim4R"
36,2019-05-18 03:36:55+00:00,news24tvchannel,"Karnataka MP said this about Rajiv Gandhi

@nalinkateel @BJP4India @BJP4Karnataka @narendramodi @PMOIndia 
@AmitShah 

#LokSabhaElections2019 

https://t.co/Ful71kQz9e"
37,2019-05-18 03:24:26+00:00,electionstation,"Congress dismantled the idea of Modi: @RahulGandhi 
#LokSabha #LokSabhaElections #LokSabhaElections2019 #Elections2019 #GeneralElections #GeneralElections2019
#news #latestnews #breakingnews #politicalnews
https://t.co/kj8bOGpmp1"
38,2019-05-18 03:19:43+00:00,htTweets,"#ElectionsWithHT | In last poll attack, @RahulGandhi challenges PM Modi for debate

https://t.co/09nW6KrqRj

#LokSabhaElections2019 #Elections2019 https://t.co/mCX33WfZOO"
39,2019-05-18 03:00:02+00:00,CNNnews18,#EXCLUSIVE – How can they say such things about Mahatma Gandhi? Prime Minister @narendramodi and @BJP4India should apologise for this: @samajwadiparty Chief @yadavakhilesh on @SadhviPragya_MP’s ‘Godse’ remark. | #ElectionsWithNews18 #LokSabhaElections2019 | @pranshumisraa https://t.co/U9OLZBOzXs
40,2019-05-18 02:55:17+00:00,actindia,"BJP has already got mandate to form government, PM Modi interjected in BJP National President Amit Shah's press conference.
@BJPLive @BJP4India @BJPPath @chikchirp @AmitShah @narendramodi @PMOIndia 
#LokSabhaElections2019 #DeshKaGauravModi"
41,2019-05-18 02:50:00+00:00,timesofindia,"Won’t be able to forgive Pragya for Gandhi remarks: PM @narendramodi https://t.co/GVQKO0TiHA  

#ElectionsWithTimes
#LokSabhaElections2019 https://t.co/cndAmGRiEb"
42,2019-05-17 20:08:28+00:00,awasthin,"#तुष्टिकरण वह बीमारी है जो आज @narendramodi को लगी है।
#एंटीबायोटिक_जरूरी है 🙏
#गोड़से #साध्वी_प्रज्ञा
#ModiOnBharat
#ModiHaiTohGodseHai
#LokSabhaElections2019
#Gandhi"
43,2019-05-17 19:26:38+00:00,Purvipost,"https://t.co/7pznbFhZre
#LokSabhaElections2019 #Modi @narendramodi"
44,2019-05-17 18:08:07+00:00,ROHITCH55825352,"Pahle se bhi zyada badh jayegi vikas ki raftar, badh jayega vishv mai bharat ka karobaar, kyunki pichli baar ki tarah is bar bhi Ayegi Modi Sarkar. @narendramodi @aajtak @ZeeNewsHindi @abpnewstv #LokSabhaElections2019"
45,2019-05-17 17:44:36+00:00,latestly,"Rahul Gandhi vs PM Narendra Modi: Here's Who Addressed More Number of Rallies During Lok Sabha Elections 2019; Priyanka Scores High in Road Shows

@priyankagandhi @RahulGandhi @narendramodi @BJP4India @INCIndia #LokSabhaElections2019 #Phase7 #roadshows

https://t.co/wbFvmmdoWs"
46,2019-05-17 17:36:00+00:00,IndiaToday,"#LokSabhaElections2019 
@RahulGandhi takes a jibe at PM Modi's #PressConference. India Today's @Rahulshrivstv brings us more on this. #ITVideo
https://t.co/NounxnP7mg https://t.co/6cL2fmQMyA"
47,2019-05-17 17:32:00+00:00,htTweets,"‘I have a question’: @RahulGandhi on PM Modi’s ‘unprecedented’ press briefing

https://t.co/FplWWRtkI2

#LokSabhaElections2019 #ElectionsWithHT https://t.co/75Cwntmzza"
48,2019-05-17 17:31:09+00:00,AtulGuptadsss,"The Rahul Gandhi Interview: NYAY, Foreign Policy &amp; Key Highlights https://t.co/lVFCngKnKP

A quality interview without ""aap aam kaise khaate hai &amp; kya aap wallet rakhte hai""
#vision for the next 5 years!
@INCIndia @RahulGandhi @INCTharoorian @TheQuint #LokSabhaElections2019"
49,2019-05-17 17:20:00+00:00,timesofindia,"'Have just 4 questions to ask': Rahul invites PM @narendramodi to debate on corruption https://t.co/T6vfH8tYbU 

#LokSabhaElections2019  

Make sense of 2019, follow #ElectionsWithTimes"
50,2019-05-17 17:17:16+00:00,pvbabji,"Vote For Modi
Your Vote can have this effect @narendramodi
#AbkiBaar300Paar
#ApnaModiAayega
#LokSabhaElections2019 https://t.co/wfO2ntvJ5N"
51,2019-05-17 17:05:25+00:00,pintunakrani,"Dear @kvw007, @mr_rahul_kr and many more those wanted the Press Conference of PM @narendramodi ji, It is here and your can listen it wholeheartedly.

#DeshKaGauravModi #LokSabhaElections2019 #ModiHiAayega #ModiPressConference 
@AmitShah @PiyushGoyal @BJP4India https://t.co/g4y7NUmmoS"
52,2019-05-17 16:47:01+00:00,uniindianews,"Bhupesh jibes at Modi for not responding to queries in presser
@bhupeshbaghel
@INCIndia
@narendramodi
#loksabhaelections2019
https://t.co/HEf8NUDy8h https://t.co/HiRsK7GyRX"
53,2019-05-17 16:10:16+00:00,thetribunechd,"#LokSabhaElections2019 |  Abki Baar 300 Paar , phir ek baar Modi sarkar: @narendramodi says in MP https://t.co/sJ6Ku3YWTl via @thetribunechd"
54,2019-05-17 16:02:25+00:00,uniindianews,"Naidu step-ups; meets Kejriwal, Yechury; to meet Rahul, Mayawati, Akhilesh before May 23
@ncbn
@ArvindKejriwal
@AamAadmiParty
@RahulGandhi
#LokSabhaElections2019
https://t.co/l9yzj8KZVm https://t.co/IknR07mxDL"
55,2019-05-17 15:45:36+00:00,SocioPoliticalW,"Overheard: Headlines tomorrow in #Times:
""Indian PM conducted #PressConference  after 5 years without answering any questions"".

#Modi #BJP @RahulGandhi 
#LokSabhaElections2019"
56,2019-05-17 15:39:37+00:00,IndiaToday,"#LokSabhaElections2019 
@RahulGandhi's direct attack on PM Modi
(By @manjeet_sehgal)
https://t.co/kjgREE2v9d"
57,2019-05-17 15:30:02+00:00,htTweets,"#WATCH | @RahulGandhi accuses the press of asking him tough questions like the source of funds for his 'NYAY' scheme, while PM Modi is asked about mangoes and his fashion sense

#LokSabhaElections2019 #ElectionsWithHT https://t.co/yUIDSYzmNs"
